originregion_name,originregion_id,destinationregion_name,destinationregion_id,origin_name,origin_iso,destination_name,destination_iso,countryflow_2014,regionflow_2014
Africa,1,Africa,1,Morocco,MAR,Angola,AGO,4057609,1855509080
Africa,1,Asia,3,Morocco,MAR,United Arab Emirates,ARE,2722335,2100885962
Africa,1,Americas,2,Morocco,MAR,Argentina,ARG,44181.69,163528359.4
Africa,1,Oceania,5,Morocco,MAR,Australia,AUS,334046.64,42123361.89
Africa,1,Europe,4,Morocco,MAR,Austria,AUT,304490.38,2948367245
Africa,1,Africa,1,Morocco,MAR,Benin,BEN,17001733.55,1855509080
Africa,1,Africa,1,Morocco,MAR,Burkina Faso,BFA,2863523.07,1855509080
Africa,1,Asia,3,Morocco,MAR,Bangladesh,BGD,,2100885962
Africa,1,Europe,4,Morocco,MAR,Bulgaria,BGR,261399.05,2948367245
Africa,1,Asia,3,Morocco,MAR,Bahrain,BHR,1351013.65,2100885962
Africa,1,Europe,4,Morocco,MAR,Bosnia and Herzegovina,BIH,41940,2948367245
Africa,1,Europe,4,Morocco,MAR,Belarus,BLR,28518,2948367245
Africa,1,Americas,2,Morocco,MAR,Belize,BLZ,,163528359.4
Africa,1,Americas,2,Morocco,MAR,Bermuda,BMU,7043,163528359.4
Africa,1,Americas,2,Morocco,MAR,Brazil,BRA,20114704.4,163528359.4
Africa,1,Africa,1,Morocco,MAR,Central African Republic,CAF,111966.87,1855509080
Africa,1,Americas,2,Morocco,MAR,Canada,CAN,3278118.82,163528359.4
Africa,1,Europe,4,Morocco,MAR,Switzerland,CHE,940690.82,2948367245
Africa,1,Americas,2,Morocco,MAR,Chile,CHL,34396.7,163528359.4
Africa,1,Asia,3,Morocco,MAR,China,CHN,6403996.59,2100885962
Africa,1,Africa,1,Morocco,MAR,Cote dIvoire (IvoryCoast),CIV,35221657.03,1855509080
Africa,1,Africa,1,Morocco,MAR,Cameroon,CMR,8288220.46,1855509080
Africa,1,Africa,1,Morocco,MAR,Democratic Republic of the Congo,COD,575570,1855509080
Africa,1,Africa,1,Morocco,MAR,Congo,COG,2982401.11,1855509080
Africa,1,Americas,2,Morocco,MAR,Colombia,COL,70147.01,163528359.4
Africa,1,Africa,1,Morocco,MAR,Cape Verde,CPV,134982,1855509080
Africa,1,Asia,3,Morocco,MAR,Cyprus,CYP,524568.93,2100885962
Africa,1,Europe,4,Morocco,MAR,Czech Republic,CZE,173734,2948367245
Africa,1,Europe,4,Morocco,MAR,Germany,DEU,2587202.24,2948367245
Africa,1,Europe,4,Morocco,MAR,Denmark,DNK,1964148,2948367245
Africa,1,Africa,1,Morocco,MAR,Algeria,DZA,2739627.59,1855509080
Africa,1,Americas,2,Morocco,MAR,Ecuador,ECU,80832.8,163528359.4
Africa,1,Africa,1,Morocco,MAR,Egypt,EGY,1651390.41,1855509080
Africa,1,Europe,4,Morocco,MAR,Spain,ESP,529831546,2948367245
Africa,1,Europe,4,Morocco,MAR,Estonia,EST,805812.1,2948367245
Africa,1,Africa,1,Morocco,MAR,Ethiopia,ETH,1644,1855509080
Africa,1,Europe,4,Morocco,MAR,Finland,FIN,25937,2948367245
Africa,1,Oceania,5,Morocco,MAR,Fiji,FJI,407166,42123361.89
Africa,1,Europe,4,Morocco,MAR,France,FRA,51629324.06,2948367245
Africa,1,Africa,1,Morocco,MAR,Gabon,GAB,1743020,1855509080
Africa,1,Europe,4,Morocco,MAR,United Kingdom,GBR,2514734.35,2948367245
Africa,1,Africa,1,Morocco,MAR,Ghana,GHA,13949070,1855509080
Africa,1,Africa,1,Morocco,MAR,Guinea,GIN,234312.6,1855509080
Africa,1,Africa,1,Morocco,MAR,"Gambia, The",GMB,10439.33,1855509080
Africa,1,Africa,1,Morocco,MAR,Equatorial Guinea,GNQ,925113,1855509080
Africa,1,Europe,4,Morocco,MAR,Greece,GRC,12309082.18,2948367245
Africa,1,Americas,2,Morocco,MAR,Greenland,GRL,,163528359.4
Africa,1,Americas,2,Morocco,MAR,Guatemala,GTM,,163528359.4
