year,importer1,importer2,flow2,flow1,category
2006,Netherlands,China,362.803,64.154,vegetables
2006,Netherlands,Germany,1713.063,5586.149,vegetables
2006,Netherlands,Italy,272.835,855.138,vegetables
2006,Netherlands,Japan,16.480,178.202,vegetables
2006,Netherlands,UK,275.277,2946.899,vegetables
2006,Netherlands,Rest of the World,5366.183,5767.916,vegetables
2006,Spain,Brazil,711.063,55.363,vegetables
2006,Spain,France,1467.916,2826.155,vegetables
2006,Spain,Canada,132.312,54.785,vegetables
2006,Spain,Argentina,177.887,4.241,vegetables
2006,Spain,China,101.624,15.249,vegetables
2006,Spain,Germany,511.099,2477.666,vegetables
2006,Spain,Italy,311.028,1610.486,vegetables
2006,Spain,Japan,3.355,91.197,vegetables
2006,Spain,UK,279.795,1894.659,vegetables
2006,Spain,Rest of the World,3083.977,3788.505,vegetables
2006,Brazil,France,49.816,244.249,vegetables
2006,Brazil,Canada,37.805,89.397,vegetables
2006,Brazil,Argentina,1437.450,89.995,vegetables
2006,Brazil,China,58.078,2573.915,vegetables
2006,Brazil,Germany,42.690,1109.173,vegetables
2006,Brazil,Italy,24.304,733.992,vegetables
2006,Brazil,Japan,3.767,360.352,vegetables
2006,Brazil,UK,3.556,320.809,vegetables
2006,Brazil,Rest of the World,733.924,3449.759,vegetables
2006,France,Canada,50.658,23.893,vegetables
2006,France,Argentina,135.414,12.020,vegetables
2006,France,China,172.735,22.926,vegetables
2006,France,Germany,793.545,1688.732,vegetables
2006,France,Italy,932.280,1262.686,vegetables
2006,France,Japan,9.480,98.028,vegetables
2006,France,UK,194.561,1122.812,vegetables
2006,France,Rest of the World,3232.582,3782.055,vegetables
2006,Canada,Argentina,30.084,2.436,vegetables
2006,Canada,China,197.425,403.790,vegetables
2006,Canada,Germany,27.497,243.319,vegetables
2006,Canada,Italy,136.604,198.413,vegetables
2006,Canada,Japan,12.042,1256.573,vegetables
2006,Canada,UK,77.786,193.163,vegetables
2006,Canada,Rest of the World,1806.441,4444.472,vegetables
2006,Argentina,China,5.243,2091.583,vegetables
2006,Argentina,Germany,6.416,103.964,vegetables
2006,Argentina,Italy,5.981,154.733,vegetables
2006,Argentina,Japan,0.519,31.348,vegetables
2006,Argentina,UK,1.001,108.385,vegetables
2006,Argentina,Rest of the World,258.693,5584.744,vegetables
2006,China,Germany,48.167,416.215,vegetables
2006,China,Italy,15.803,159.587,vegetables
2006,China,Japan,48.942,2100.109,vegetables
2006,China,UK,8.243,196.173,vegetables
2006,China,Rest of the World,5715.432,5513.752,vegetables
2006,Germany,Italy,2175.316,633.513,vegetables
2006,Germany,Japan,11.815,121.712,vegetables
2006,Germany,UK,312.039,588.903,vegetables
2006,Germany,Rest of the World,8204.185,4821.439,vegetables
2006,Italy,Japan,5.917,157.459,vegetables
2006,Italy,UK,120.816,666.623,vegetables
2006,Italy,Rest of the World,4889.421,3251.043,vegetables
2006,Japan,UK,66.339,9.574,vegetables
2006,Japan,Rest of the World,4648.006,289.490,vegetables
2006,UK,Rest of the World,4966.951,1386.759,vegetables
2006,Rest of the World,Rest of the World,61635.818,61635.818,vegetables
2007,USA,Netherlands,559.245,876.371,vegetables
2007,USA,Spain,454.654,1097.837,vegetables
2007,USA,Argentina,347.307,39.520,vegetables
2007,USA,Brazil,971.898,174.692,vegetables
2007,USA,Canada,4849.441,5080.602,vegetables
2007,USA,France,167.408,393.080,vegetables
2007,USA,China,1001.935,4636.221,vegetables
2007,USA,Malaysia,984.184,294.416,vegetables
2007,USA,Indonesia,643.271,780.724,vegetables
2007,USA,Japan,96.523,7211.620,vegetables
2007,USA,UK,89.753,537.632,vegetables
2007,USA,Italy,759.805,545.604,vegetables
2007,USA,Mexico,5811.148,6626.473,vegetables
2007,USA,Rest of the World,11863.498,19970.937,vegetables
2007,Netherlands,Spain,1164.510,580.573,vegetables
2007,Netherlands,Argentina,504.010,5.016,vegetables
2007,Netherlands,Brazil,1659.531,25.695,vegetables
2007,Netherlands,Canada,174.325,120.065,vegetables
2007,Netherlands,France,1736.803,1857.779,vegetables
2007,Netherlands,China,397.701,61.171,vegetables
2007,Netherlands,Malaysia,1009.113,20.830,vegetables
2007,Netherlands,Indonesia,750.996,9.868,vegetables
2007,Netherlands,Japan,20.100,206.839,vegetables
2007,Netherlands,UK,358.593,3638.039,vegetables
2007,Netherlands,Italy,325.816,1003.162,vegetables
2007,Netherlands,Mexico,53.977,74.247,vegetables
2007,Netherlands,Rest of the World,7410.978,12997.634,vegetables
2007,Spain,Argentina,429.687,5.618,vegetables
2007,Spain,Brazil,1474.336,58.891,vegetables
2007,Spain,Canada,65.029,53.858,vegetables
2007,Spain,France,1665.342,3061.417,vegetables
2007,Spain,China,137.443,24.246,vegetables
2007,Spain,Malaysia,131.170,3.168,vegetables
2007,Spain,Indonesia,192.663,1.902,vegetables
2007,Spain,Japan,4.270,88.461,vegetables
2007,Spain,UK,305.608,2027.703,vegetables
2007,Spain,Italy,356.643,1998.523,vegetables
2007,Spain,Mexico,55.262,50.967,vegetables
2007,Spain,Rest of the World,3800.080,7502.450,vegetables
2007,Argentina,Brazil,116.777,2001.284,vegetables
2007,Argentina,Canada,5.671,35.064,vegetables
2007,Argentina,France,13.089,125.996,vegetables
2007,Argentina,China,6.769,4239.973,vegetables
2007,Argentina,Malaysia,20.270,593.718,vegetables
2007,Argentina,Indonesia,7.695,80.294,vegetables
2007,Argentina,Japan,0.498,137.521,vegetables
2007,Argentina,UK,1.362,135.460,vegetables
2007,Argentina,Italy,8.073,205.733,vegetables
2007,Argentina,Mexico,2.881,72.148,vegetables
2007,Argentina,Rest of the World,759.243,7504.156,vegetables
2007,Brazil,Canada,118.809,106.839,vegetables
2007,Brazil,France,42.079,475.602,vegetables
2007,Brazil,China,61.866,3197.606,vegetables
2007,Brazil,Malaysia,88.146,46.286,vegetables
2007,Brazil,Indonesia,86.724,8.574,vegetables
2007,Brazil,Japan,3.422,430.066,vegetables
2007,Brazil,UK,7.589,490.466,vegetables
2007,Brazil,Italy,25.925,953.905,vegetables
2007,Brazil,Mexico,5.412,46.315,vegetables
2007,Brazil,Rest of the World,964.218,6282.961,vegetables
2007,Canada,France,25.938,72.198,vegetables
2007,Canada,China,241.109,767.555,vegetables
2007,Canada,Malaysia,79.342,116.869,vegetables
2007,Canada,Indonesia,37.880,377.262,vegetables
2007,Canada,Japan,14.193,1672.421,vegetables
2007,Canada,UK,85.977,255.923,vegetables
2007,Canada,Italy,151.376,275.602,vegetables
2007,Canada,Mexico,564.380,748.139,vegetables
2007,Canada,Rest of the World,1460.916,5221.436,vegetables
2007,France,China,209.791,28.796,vegetables
2007,France,Malaysia,58.916,12.615,vegetables
2007,France,Indonesia,58.155,9.049,vegetables
2007,France,Japan,13.075,100.417,vegetables
2007,France,UK,240.351,1310.153,vegetables
2007,France,Italy,1060.729,1481.978,vegetables
2007,France,Mexico,54.471,21.377,vegetables
2007,France,Rest of the World,5039.162,6890.860,vegetables
2007,China,Malaysia,2807.973,649.620,vegetables
2007,China,Indonesia,1698.767,626.524,vegetables
2007,China,Japan,53.034,2098.071,vegetables
2007,China,UK,11.136,219.708,vegetables
2007,China,Italy,22.575,230.876,vegetables
2007,China,Mexico,6.195,88.275,vegetables
2007,China,Rest of the World,3423.832,6714.714,vegetables
2007,Malaysia,Indonesia,698.699,73.485,vegetables
2007,Malaysia,Japan,12.741,651.930,vegetables
2007,Malaysia,UK,6.414,113.111,vegetables
2007,Malaysia,Italy,5.168,98.429,vegetables
2007,Malaysia,Mexico,0.778,5.082,vegetables
2007,Malaysia,Rest of the World,1605.462,6400.208,vegetables
2007,Indonesia,Japan,15.839,191.001,vegetables
2007,Indonesia,UK,1.975,160.441,vegetables
2007,Indonesia,Italy,4.970,182.684,vegetables
2007,Indonesia,Mexico,1.295,24.191,vegetables
2007,Indonesia,Rest of the World,1623.491,7648.269,vegetables
2007,Japan,UK,73.908,8.554,vegetables
2007,Japan,Italy,156.821,6.997,vegetables
2007,Japan,Mexico,173.930,2.482,vegetables
2007,Japan,Rest of the World,4101.055,312.520,vegetables
2007,UK,Italy,754.445,134.563,vegetables
2007,UK,Mexico,44.221,2.391,vegetables
2007,UK,Rest of the World,6111.409,1928.719,vegetables
2007,Italy,Mexico,64.492,21.718,vegetables
2007,Italy,Rest of the World,5867.819,6327.778,vegetables
2007,Mexico,Rest of the World,750.374,516.753,vegetables
2007,Rest of the World,Rest of the World,78987.387,78987.387,vegetables
2008,USA,Netherlands,509.038,1101.992,vegetables
2008,USA,Brazil,1080.178,393.072,vegetables
2008,USA,Argentina,381.485,46.395,vegetables
2008,USA,Canada,7246.757,5989.561,vegetables
2008,USA,Malaysia,1534.418,253.617,vegetables
2008,USA,Spain,466.400,1423.937,vegetables
2008,USA,France,200.769,432.680,vegetables
2008,USA,Indonesia,864.621,1163.883,vegetables
2008,USA,Germany,484.646,1473.488,vegetables
2008,USA,Japan,111.357,10289.383,vegetables
2008,USA,UK,100.220,570.579,vegetables
2008,USA,Italy,842.761,684.477,vegetables
2008,USA,Mexico,6017.178,8880.560,vegetables
2008,USA,Rest of the World,14312.801,33756.892,vegetables
2008,Netherlands,Brazil,1819.724,32.743,vegetables
2008,Netherlands,Argentina,973.469,5.619,vegetables
2008,Netherlands,Canada,157.823,118.833,vegetables
2008,Netherlands,Malaysia,1288.869,29.107,vegetables
2008,Netherlands,Spain,1199.166,617.489,vegetables
2008,Netherlands,France,2374.597,2341.680,vegetables
2008,Netherlands,Indonesia,1148.153,12.057,vegetables
2008,Netherlands,Germany,2668.753,7217.528,vegetables
2008,Netherlands,Japan,26.229,179.621,vegetables
2008,Netherlands,UK,572.344,3829.154,vegetables
2008,Netherlands,Italy,397.457,1137.377,vegetables
2008,Netherlands,Mexico,63.002,83.159,vegetables
2008,Netherlands,Rest of the World,7572.819,8977.571,vegetables
2008,Brazil,Argentina,2398.558,122.875,vegetables
2008,Brazil,Canada,172.924,101.575,vegetables
2008,Brazil,Malaysia,125.280,133.676,vegetables
2008,Brazil,Spain,79.951,1701.461,vegetables
2008,Brazil,France,50.333,546.516,vegetables
2008,Brazil,Indonesia,193.220,19.854,vegetables
2008,Brazil,Germany,80.016,1761.391,vegetables
2008,Brazil,Japan,4.692,593.409,vegetables
2008,Brazil,UK,30.205,574.922,vegetables
2008,Brazil,Italy,35.109,1215.800,vegetables
2008,Brazil,Mexico,7.371,50.069,vegetables
2008,Brazil,Rest of the World,1461.319,12508.415,vegetables
2008,Argentina,Canada,4.001,35.097,vegetables
2008,Argentina,Malaysia,24.296,259.006,vegetables
2008,Argentina,Spain,5.778,923.714,vegetables
2008,Argentina,France,13.231,359.249,vegetables
2008,Argentina,Indonesia,7.382,48.770,vegetables
2008,Argentina,Germany,13.032,321.453,vegetables
2008,Argentina,Japan,0.668,61.746,vegetables
2008,Argentina,UK,6.684,154.163,vegetables
2008,Argentina,Italy,7.684,381.902,vegetables
2008,Argentina,Mexico,4.458,94.228,vegetables
2008,Argentina,Rest of the World,1415.520,15745.764,vegetables
2008,Canada,Malaysia,98.894,219.145,vegetables
2008,Canada,Spain,49.830,84.728,vegetables
2008,Canada,France,28.531,113.224,vegetables
2008,Canada,Indonesia,34.976,472.773,vegetables
2008,Canada,Germany,40.942,292.654,vegetables
2008,Canada,Japan,17.108,2632.172,vegetables
2008,Canada,UK,89.255,354.437,vegetables
2008,Canada,Italy,166.022,272.767,vegetables
2008,Canada,Mexico,613.785,1154.145,vegetables
2008,Canada,Rest of the World,2002.074,8415.666,vegetables
2008,Malaysia,Spain,2.281,194.769,vegetables
2008,Malaysia,France,14.837,35.366,vegetables
2008,Malaysia,Indonesia,1240.480,108.145,vegetables
2008,Malaysia,Germany,19.510,236.718,vegetables
2008,Malaysia,Japan,15.449,978.396,vegetables
2008,Malaysia,UK,5.138,145.374,vegetables
2008,Malaysia,Italy,6.358,148.767,vegetables
2008,Malaysia,Mexico,0.656,14.044,vegetables
2008,Malaysia,Rest of the World,3081.994,14312.610,vegetables
2008,Spain,France,1982.339,3561.436,vegetables
2008,Spain,Indonesia,310.228,2.746,vegetables
2008,Spain,Germany,534.486,3066.722,vegetables
2008,Spain,Japan,3.587,111.564,vegetables
2008,Spain,UK,333.522,2145.914,vegetables
2008,Spain,Italy,407.702,2229.701,vegetables
2008,Spain,Mexico,63.159,56.620,vegetables
2008,Spain,Rest of the World,4397.000,5720.560,vegetables
2008,France,Indonesia,180.972,15.860,vegetables
2008,France,Germany,1338.627,2789.523,vegetables
2008,France,Japan,15.614,114.603,vegetables
2008,France,UK,321.123,1398.727,vegetables
2008,France,Italy,1305.945,2039.460,vegetables
2008,France,Mexico,58.968,18.966,vegetables
2008,France,Rest of the World,5353.103,7382.303,vegetables
2008,Indonesia,Germany,17.825,1103.353,vegetables
2008,Indonesia,Japan,15.998,255.177,vegetables
2008,Indonesia,UK,1.920,193.838,vegetables
2008,Indonesia,Italy,6.262,491.491,vegetables
2008,Indonesia,Mexico,0.731,29.753,vegetables
2008,Indonesia,Rest of the World,2171.296,11875.175,vegetables
2008,Germany,Japan,13.383,107.634,vegetables
2008,Germany,UK,316.153,910.319,vegetables
2008,Germany,Italy,2678.942,939.942,vegetables
2008,Germany,Mexico,69.403,42.810,vegetables
2008,Germany,Rest of the World,11581.649,8850.942,vegetables
2008,Japan,UK,97.703,10.240,vegetables
2008,Japan,Italy,164.393,10.116,vegetables
2008,Japan,Mexico,206.795,2.720,vegetables
2008,Japan,Rest of the World,7112.568,422.648,vegetables
2008,UK,Italy,806.593,165.006,vegetables
2008,UK,Mexico,47.026,5.932,vegetables
2008,UK,Rest of the World,6154.571,1905.382,vegetables
2008,Italy,Mexico,126.861,17.663,vegetables
2008,Italy,Rest of the World,6115.302,5206.357,vegetables
2008,Mexico,Rest of the World,1060.398,991.627,vegetables
2008,Rest of the World,Rest of the World,101975.540,101975.540,vegetables
2009,USA,Netherlands,492.665,655.238,vegetables
2009,USA,Brazil,1098.425,145.152,vegetables
2009,USA,Canada,5459.528,5555.239,vegetables
2009,USA,Spain,405.274,680.650,vegetables
2009,USA,Indonesia,570.718,841.522,vegetables
2009,USA,France,172.899,340.220,vegetables
2009,USA,Malaysia,931.917,319.166,vegetables
2009,USA,Germany,380.418,970.197,vegetables
2009,USA,China,985.498,9933.298,vegetables
2009,USA,Japan,102.586,7074.835,vegetables
2009,USA,UK,85.994,471.518,vegetables
2009,USA,Italy,679.010,477.079,vegetables
2009,USA,Rest of the World,18760.152,24436.868,vegetables
2009,Netherlands,Brazil,1320.507,32.230,vegetables
2009,Netherlands,Canada,132.219,113.312,vegetables
2009,Netherlands,Spain,1110.519,615.836,vegetables
2009,Netherlands,Indonesia,959.227,13.909,vegetables
2009,Netherlands,France,1640.200,2171.778,vegetables
2009,Netherlands,Malaysia,681.886,28.156,vegetables
2009,Netherlands,Germany,1957.885,5927.246,vegetables
2009,Netherlands,China,365.162,86.851,vegetables
2009,Netherlands,Japan,20.311,150.052,vegetables
2009,Netherlands,UK,439.189,2951.941,vegetables
2009,Netherlands,Italy,367.260,1008.119,vegetables
2009,Netherlands,Rest of the World,6606.128,7410.235,vegetables
2009,Brazil,Canada,112.575,102.425,vegetables
2009,Brazil,Spain,88.513,1142.221,vegetables
2009,Brazil,Indonesia,147.124,15.049,vegetables
2009,Brazil,France,42.404,393.077,vegetables
2009,Brazil,Malaysia,84.438,261.582,vegetables
2009,Brazil,Germany,63.850,1629.315,vegetables
2009,Brazil,China,122.608,6792.962,vegetables
2009,Brazil,Japan,4.042,595.771,vegetables
2009,Brazil,UK,18.940,507.036,vegetables
2009,Brazil,Italy,36.274,820.538,vegetables
2009,Brazil,Rest of the World,3030.832,5528.884,vegetables
2009,Canada,Spain,40.103,161.132,vegetables
2009,Canada,Indonesia,24.162,240.930,vegetables
2009,Canada,France,24.952,45.558,vegetables
2009,Canada,Malaysia,88.003,99.441,vegetables
2009,Canada,Germany,33.322,146.626,vegetables
2009,Canada,China,245.554,2023.489,vegetables
2009,Canada,Japan,16.920,1652.047,vegetables
2009,Canada,UK,85.829,249.504,vegetables
2009,Canada,Italy,148.321,371.670,vegetables
2009,Canada,Rest of the World,2379.313,6826.249,vegetables
2009,Spain,Indonesia,381.107,2.738,vegetables
2009,Spain,France,1684.793,3029.175,vegetables
2009,Spain,Malaysia,74.576,2.660,vegetables
2009,Spain,Germany,453.091,2817.729,vegetables
2009,Spain,China,152.931,32.740,vegetables
2009,Spain,Japan,3.246,95.581,vegetables
2009,Spain,UK,351.910,1808.072,vegetables
