originregion_name,originregion_id,destinationregion_name,destinationregion_id,origin_name,origin_iso,destination_name,destination_iso,countryflow_2014,regionflow_2014
Northern Africa & Western Asia,7,Eastern & Middle Africa,8,Morocco,MAR,Angola,AGO,4057609,133324365.8
Northern Africa & Western Asia,7,Northern Africa & Western Asia,7,Morocco,MAR,United Arab Emirates,ARE,2722335,5021976106
Northern Africa & Western Asia,7,Latin America & Caribbean,12,Morocco,MAR,Argentina,ARG,44181.69,30596867.01
Northern Africa & Western Asia,7,Oceania,4,Morocco,MAR,Australia,AUS,334046.64,13678557.96
Northern Africa & Western Asia,7,Western & Southern Europe,6,Morocco,MAR,Austria,AUT,304490.38,1727883218
Northern Africa & Western Asia,7,Western Africa,10,Morocco,MAR,Benin,BEN,17001733.55,142129067.5
Northern Africa & Western Asia,7,Western Africa,10,Morocco,MAR,Burkina Faso,BFA,2863523.07,142129067.5
Northern Africa & Western Asia,7,South Asia,3,Morocco,MAR,Bangladesh,BGD,,100863325.5
Northern Africa & Western Asia,7,Eastern Europe & Central Asia,5,Morocco,MAR,Bulgaria,BGR,261399.05,267360277.9
Northern Africa & Western Asia,7,Northern Africa & Western Asia,7,Morocco,MAR,Bahrain,BHR,1351013.65,5021976106
Northern Africa & Western Asia,7,Western & Southern Europe,6,Morocco,MAR,Bosnia and Herzegovina,BIH,41940,1727883218
Northern Africa & Western Asia,7,Eastern Europe & Central Asia,5,Morocco,MAR,Belarus,BLR,28518,267360277.9
Northern Africa & Western Asia,7,Latin America & Caribbean,12,Morocco,MAR,Belize,BLZ,,30596867.01
Northern Africa & Western Asia,7,North America,11,Morocco,MAR,Bermuda,BMU,7043,85565138.64
Northern Africa & Western Asia,7,Latin America & Caribbean,12,Morocco,MAR,Brazil,BRA,20114704.4,30596867.01
Northern Africa & Western Asia,7,Eastern & Middle Africa,8,Morocco,MAR,Central African Republic,CAF,111966.87,133324365.8
Northern Africa & Western Asia,7,North America,11,Morocco,MAR,Canada,CAN,3278118.82,85565138.64
Northern Africa & Western Asia,7,Western & Southern Europe,6,Morocco,MAR,Switzerland,CHE,940690.82,1727883218
Northern Africa & Western Asia,7,Latin America & Caribbean,12,Morocco,MAR,Chile,CHL,34396.7,30596867.01
Northern Africa & Western Asia,7,East Asia,1,Morocco,MAR,China,CHN,6403996.59,459232511.8
Northern Africa & Western Asia,7,Western Africa,10,Morocco,MAR,Cote dIvoire (IvoryCoast),CIV,35221657.03,142129067.5
Northern Africa & Western Asia,7,Eastern & Middle Africa,8,Morocco,MAR,Cameroon,CMR,8288220.46,133324365.8
