id,province,year,mobile_per_1000,broadband_per_1000
Zhejiang,Zhejiang,2015,1049.576,344.2499
Anhui,Anhui,2015,597.6237,148.6491
Fujian,Fujian,2015,794.0089,272.1542
Jiangxi,Jiangxi,2015,474.6167,155.6943
Shandong,Shandong,2015,620.4529,201.1577
Henan,Henan,2015,569.4515,157.0675
Hubei,Hubei,2015,556.2884,173.3424
Hunan,Hunan,2015,536.503,134.2326
Guangdong,Guangdong,2015,1009.328,247.2762
Guangxi,Guangxi,2015,583.4654,149.2494
Hainan,Hainan,2015,859.4951,164.1054
Chongqing,Chongqing,2015,758.4355,199.768
Sichuan,Sichuan,2015,667.5524,173.5739
Guizhou,Guizhou,2015,626.7139,109.5751
Yunnan,Yunnan,2015,585.7655,113.3066
Tibet,Tibet,2015,501.2346,91.35802
Shaanxi,Shaanxi,2015,733.0609,181.8877
Gansu,Gansu,2015,614.9231,116.4231
Qinghai,Qinghai,2015,670.068,139.966
Ningxia,Ningxia,2015,800.7485,138.4731
Xinjiang,Xinjiang,2015,635.339,173.5169
Beijing,Beijing,2014,1294.331,224.1636
Tianjin,Tianjin,2014,531.114,137.6401
Hebei,Hebei,2014,546.3299,152.7086
Shanxi,Shanxi,2014,525.5208,156.5515
Inner Mongolia,Inner Mongolia,2014,667.6248,126.4671
Liaoning,Liaoning,2014,637.0531,175.8369
Jilin,Jilin,2014,598.1468,150.7631
Heilongjiang,Heilongjiang,2014,525.9327,126.4284
Shanghai,Shanghai,2014,1056.348,219.3735
Jiangsu,Jiangsu,2014,797.1608,191.3819
Zhejiang,Zhejiang,2014,973.5113,231.6812
Anhui,Anhui,2014,438.698,92.68453
Fujian,Fujian,2014,777.6931,236.2585
Jiangxi,Jiangxi,2014,421.5324,95.59665
Shandong,Shandong,2014,568.9243,155.6747
Henan,Henan,2014,475.1272,115.2925
Hubei,Hubei,2014,499.3982,149.5358
Hunan,Hunan,2014,478.3435,110.5685
Guangdong,Guangdong,2014,970.981,202.7322
Guangxi,Guangxi,2014,544.0682,124.6109
Hainan,Hainan,2014,775.969,133.2226
Chongqing,Chongqing,2014,673.3868,158.9435
Sichuan,Sichuan,2014,617.9361,108.4889
Guizhou,Guizhou,2014,571.4937,88.626
Yunnan,Yunnan,2014,521.6801,90.13577
Tibet,Tibet,2014,615.0943,69.49686
Shaanxi,Shaanxi,2014,698.8609,146.3311
Gansu,Gansu,2014,644.0756,82.555
Qinghai,Qinghai,2014,559.1767,105.3173
Ningxia,Ningxia,2014,727.7946,118.1269
Xinjiang,Xinjiang,2014,581.3751,133.0287
Beijing,Beijing,2013,0,227.1395
Tianjin,Tianjin,2013,0,127.9891
Hebei,Hebei,2013,0,140.6791
Shanxi,Shanxi,2013,0,143.6088
Inner Mongolia,Inner Mongolia,2013,0,113.8511
Liaoning,Liaoning,2013,0,165.5809
Jilin,Jilin,2013,0,137.9862
Heilongjiang,Heilongjiang,2013,0,119.8435
Shanghai,Shanghai,2013,0,211.6356
Jiangsu,Jiangsu,2013,0,180.2872
Zhejiang,Zhejiang,2013,0,226.0276
Anhui,Anhui,2013,0,90.67993
Fujian,Fujian,2013,0,221.4096
Jiangxi,Jiangxi,2013,0,90.68996
Shandong,Shandong,2013,0,150.5291
Henan,Henan,2013,0,106.2892
Hubei,Hubei,2013,0,140.2483
Hunan,Hunan,2013,0,104.9768
Guangdong,Guangdong,2013,0,195.575
Guangxi,Guangxi,2013,0,118.5844
Hainan,Hainan,2013,0,123.9106
Chongqing,Chongqing,2013,0,147.7441
Sichuan,Sichuan,2013,0,103.0221
Guizhou,Guizhou,2013,0,83.49515
Yunnan,Yunnan,2013,0,86.34521
Tibet,Tibet,2013,0,61.21795
Shaanxi,Shaanxi,2013,0,134.4846
Gansu,Gansu,2013,0,74.43842
Qinghai,Qinghai,2013,0,94.9827
Ningxia,Ningxia,2013,0,108.7156
Xinjiang,Xinjiang,2013,0,129.417
Beijing,Beijing,2012,0,228.9512
Tianjin,Tianjin,2012,0,144.9398
Hebei,Hebei,2012,0,132.2585
Shanxi,Shanxi,2012,0,139.7951
Inner Mongolia,Inner Mongolia,2012,0,110.3614
Liaoning,Liaoning,2012,0,161.2896
Jilin,Jilin,2012,0,132.5818
Heilongjiang,Heilongjiang,2012,0,113.6672
Shanghai,Shanghai,2012,0,227.3109
Jiangsu,Jiangsu,2012,0,170.5429
Zhejiang,Zhejiang,2012,0,210.4437
Anhui,Anhui,2012,0,84.66934
Fujian,Fujian,2012,0,196.905
Jiangxi,Jiangxi,2012,0,82.59325
Shandong,Shandong,2012,0,140.8467
Henan,Henan,2012,0,98.6179
Hubei,Hubei,2012,0,122.5125
Hunan,Hunan,2012,0,91.03781
Guangdong,Guangdong,2012,0,179.6866
Guangxi,Guangxi,2012,0,108.3084
Hainan,Hainan,2012,0,107.6663
Chongqing,Chongqing,2012,0,131.7827
Sichuan,Sichuan,2012,0,101.9069
Guizhou,Guizhou,2012,0,70.00574
Yunnan,Yunnan,2012,0,80.59669
Tibet,Tibet,2012,0,55.51948
Shaanxi,Shaanxi,2012,0,117.133
Gansu,Gansu,2012,0,63.34368
Qinghai,Qinghai,2012,0,87.08551
Ningxia,Ningxia,2012,0,94.12674
Xinjiang,Xinjiang,2012,0,114.1961
Beijing,Beijing,2011,0,252.9965
Tianjin,Tianjin,2011,0,137.786
Hebei,Hebei,2011,0,113.8655
Shanxi,Shanxi,2011,0,115.8085
Inner Mongolia,Inner Mongolia,2011,0,93.0701
Liaoning,Liaoning,2011,0,149.4638
Jilin,Jilin,2011,0,111.8225
Heilongjiang,Heilongjiang,2011,0,100.5216
Shanghai,Shanghai,2011,0,210.2684
Jiangsu,Jiangsu,2011,0,148.2466
Zhejiang,Zhejiang,2011,0,186.6557
Anhui,Anhui,2011,0,72.4866
Fujian,Fujian,2011,0,162.6882
Jiangxi,Jiangxi,2011,0,69.74153
Shandong,Shandong,2011,0,119.7572
Henan,Henan,2011,0,83.56412
Hubei,Hubei,2011,0,100.7468
Hunan,Hunan,2011,0,73.24136
Guangdong,Guangdong,2011,0,156.4874
Guangxi,Guangxi,2011,0,89.30032
Hainan,Hainan,2011,0,91.67617
Chongqing,Chongqing,2011,0,109.5923
Sichuan,Sichuan,2011,0,83.03106
Guizhou,Guizhou,2011,0,59.03719
Yunnan,Yunnan,2011,0,64.34895
Tibet,Tibet,2011,0,42.24422
Shaanxi,Shaanxi,2011,0,98.79776
Gansu,Gansu,2011,0,52.10608
Qinghai,Qinghai,2011,0,73.23944
Ningxia,Ningxia,2011,0,81.69014
Xinjiang,Xinjiang,2011,0,93.30014
