id,province,year,mobile_per_1000,broadband_per_1000
AVG,China Average,2017,,
Beijing,Beijing,2017,2137.126,249.6085
Tianjin,Tianjin,2017,841.1047,217.9191
Hebei,Hebei,2017,826.0372,254.0027
Shanxi,Shanxi,2017,798.5143,235.7915
Inner Mongolia,Inner Mongolia,2017,933.2938,195.3341
Liaoning,Liaoning,2017,901.0758,242.298
Jilin,Jilin,2017,864.7773,184.5786
Heilongjiang,Heilongjiang,2017,754.4735,175.4025
Shanghai,Shanghai,2017,1403.267,281.7618
Jiangsu,Jiangsu,2017,1153.02,386.8601
Zhejiang,Zhejiang,2017,1318.066,435.6726
Anhui,Anhui,2017,741.7586,211.6227
Fujian,Fujian,2017,897.1619,351.2145
Jiangxi,Jiangxi,2017,666.2267,215.7291
Shandong,Shandong,2017,850.2898,258.7148
Henan,Henan,2017,789.0365,222.6593
Hubei,Hubei,2017,697.4585,210.5896
Hunan,Hunan,2017,717.5656,191.7638
Guangdong,Guangdong,2017,1267.822,290.6975
Guangxi,Guangxi,2017,760.1638,198.1576
Hainan,Hainan,2017,984.5572,246.9762
Chongqing,Chongqing,2017,920.8455,281.9187
Sichuan,Sichuan,2017,830.9444,261.0817
Guizhou,Guizhou,2017,820.8101,158.8268
Yunnan,Yunnan,2017,766.6111,169.2564
Tibet,Tibet,2017,589.6142,181.6024
Shaanxi,Shaanxi,2017,1293.933,318.5891
Gansu,Gansu,2017,774.6002,219.4973
Qinghai,Qinghai,2017,891.806,200.8361
Ningxia,Ningxia,2017,1000.733,233.4311
Xinjiang,Xinjiang,2017,759.0184,233.0879
Beijing,Beijing,2016,1653.935,218.96
Tianjin,Tianjin,2016,720.4866,181.7542
Hebei,Hebei,2016,738.7282,215.7965
Shanxi,Shanxi,2016,674.9864,202.9332
Inner Mongolia,Inner Mongolia,2016,811.5873,165.5556
Liaoning,Liaoning,2016,806.2586,221.9507
Jilin,Jilin,2016,742.6637,160.9952
Heilongjiang,Heilongjiang,2016,660.9371,151.3819
Shanghai,Shanghai,2016,1100.124,262.686
Jiangsu,Jiangsu,2016,929.7287,335.692
Zhejiang,Zhejiang,2016,1138.873,386.3506
Anhui,Anhui,2016,674.6127,173.499
Fujian,Fujian,2016,843.4435,295.4569
Jiangxi,Jiangxi,2016,566.8118,179.1159
Shandong,Shandong,2016,743.0582,237.9109
Henan,Henan,2016,669.146,185.3966
Hubei,Hubei,2016,618.5047,192.3364
Hunan,Hunan,2016,637.7455,156.3911
Guangdong,Guangdong,2016,1047.222,252.6957
Guangxi,Guangxi,2016,653.9686,163.2906
Hainan,Hainan,2016,890.5125,203.3806
Chongqing,Chongqing,2016,838.5827,231.2008
Sichuan,Sichuan,2016,769.5957,224.062
Guizhou,Guizhou,2016,711.308,129.2546
Yunnan,Yunnan,2016,692.1191,137.3507
Tibet,Tibet,2016,532.3263,121.4502
Shaanxi,Shaanxi,2016,887.7,210.5953
Gansu,Gansu,2016,691.5326,150.5364
Qinghai,Qinghai,2016,732.8836,168.1282
Ningxia,Ningxia,2016,892,165.7778
Xinjiang,Xinjiang,2016,681.2344,195.3294
Beijing,Beijing,2015,1497.789,226.5776
Tianjin,Tianjin,2015,619.3277,161.4738
Hebei,Hebei,2015,618.0067,177.4007
Shanxi,Shanxi,2015,590.1201,197.571
Inner Mongolia,Inner Mongolia,2015,742.732,145.6392
Liaoning,Liaoning,2015,721.3373,196.3715
Jilin,Jilin,2015,651.3985,155.2125
Heilongjiang,Heilongjiang,2015,527.0199,136.2802
Shanghai,Shanghai,2015,1063.892,235.528
Jiangsu,Jiangsu,2015,843.6434,294.17
