region,id,country,value,year,group,subregion
Asia,IND,India,450,2012,2,Southern Asia
Asia,MYS,Malaysia,460,2012,3,South-Eastern Asia
Africa,ZAF,South Africa,480,2012,3,Southern Africa
Asia,KAZ,Kazakhstan,500,2012,3,Central Asia
Europe,FRA,France,610,2012,5,Western Europe
Africa,CMR,Cameroon,660,2012,2,Middle Africa
Europe,ITA,Italy,700,2012,5,Southern Europe
Europe,POL,Poland,840,2012,5,Eastern Europe
Europe,CHE,Switzerland,870,2012,5,Western Europe
Asia,KOR,"Korea, Rep.",900,2012,5,Eastern Asia
Africa,ZMB,Zambia,930,2012,2,Eastern Africa
Americas,COL,Colombia,980,2012,3,South America
Europe,PRT,Portugal,980,2012,5,Southern Europe
Oceania,NZL,New Zealand,1170,2012,5,Australia and New Zealand
Asia,KHM,Cambodia,1390,2012,1,South-Eastern Asia
Europe,HUN,Hungary,1500,2012,3,Eastern Europe
Asia,LAO,Lao PDR,1520,2012,2,South-Eastern Asia
Africa,UGA,Uganda,1570,2012,1,Eastern Africa
Asia,TUR,Turkey,1700,2012,3,Western Asia
Europe,RUS,Russian Federation,1920,2012,4,Eastern Europe
Americas,BRA,Brazil,2500,2012,3,South America
Africa,NGA,Nigeria,2630,2012,2,Western Africa
Europe,DEU,Germany,2700,2012,5,Western Europe
Asia,IDN,Indonesia,3550,2012,2,South-Eastern Asia
Europe,GBR,United Kingdom,7120,2012,5,Northern Europe
Oceania,AUS,Australia,8400,2012,5,Australia and New Zealand
Americas,USA,United States,9100,2012,5,North America
Americas,CAN,Canada,21570,2012,5,North America
Asia,MMR,Myanmar,100,2013,1,South-Eastern Asia
Europe,PRT,Portugal,100,2013,5,Southern Europe
Africa,ZAF,South Africa,110,2013,3,Southern Africa
Americas,ARG,Argentina,120,2013,3,South America
Asia,JPN,Japan,120,2013,5,Eastern Asia
Africa,KEN,Kenya,140,2013,1,Eastern Africa
Africa,STP,São Tomé and Principe,150,2013,2,Middle Africa
Africa,COD,"Congo, Dem. Rep.",170,2013,1,Middle Africa
Asia,LAO,Lao PDR,180,2013,2,South-Eastern Asia
Oceania,NZL,New Zealand,180,2013,5,Australia and New Zealand
Africa,DJI,Djibouti,190,2013,2,Eastern Africa
Europe,LUX,Luxembourg,220,2013,5,Western Europe
Asia,ISR,Israel,240,2013,5,Western Asia
Europe,GRC,Greece,300,2013,5,Southern Europe
Asia,ARE,United Arab Emirates,450,2013,4,Western Asia
Americas,CAN,Canada,470,2013,5,North America
Europe,ESP,Spain,550,2013,5,Southern Europe
Asia,IDN,Indonesia,630,2013,2,South-Eastern Asia
Europe,DEU,Germany,800,2013,5,Western Europe
Europe,FRA,France,890,2013,5,Western Europe
Asia,KOR,"Korea, Rep.",1110,2013,5,Eastern Asia
Asia,SGP,Singapore,1130,2013,4,South-Eastern Asia
Asia,IRQ,Iraq,1250,2013,3,Western Asia
Africa,COG,"Congo, Rep.",1270,2013,2,Middle Africa
Americas,VEN,"Venezuela, RB",1400,2013,3,South America
Asia,PAK,Pakistan,1650,2013,2,Southern Asia
Asia,LKA,Sri Lanka,1690,2013,2,Southern Asia
Africa,SLE,Sierra Leone,1700,2013,1,Western Africa
Asia,VNM,Vietnam,1990,2013,2,South-Eastern Asia
Africa,UGA,Uganda,2180,2013,1,Eastern Africa
Africa,AGO,Angola,2270,2013,3,Middle Africa
Americas,PER,Peru,2890,2013,3,South America
Americas,BRA,Brazil,2900,2013,3,South America
Africa,EGY,"Egypt, Arab Rep.",3600,2013,2,Northern Africa
Asia,MYS,Malaysia,3600,2013,3,South-Eastern Asia
Europe,GBR,United Kingdom,4000,2013,5,Northern Europe
Africa,MOZ,Mozambique,4710,2013,1,Eastern Africa
Asia,KAZ,Kazakhstan,5300,2013,3,Central Asia
